Year,Month,Day,Value,Value1,Value2,Value3,dayOfWeek,isWorkday,isHoliday,Season,RRR,File
2016,1,1,4136.932,712.832,336,3088.1,5,1,1,4,0,201601.txt
2016,1,2,4338.9,0,350,3988.9,6,0,1,4,0,201601.txt
2016,1,3,4801.732,28.032,361,4412.7,7,0,1,4,0,201601.txt
2016,1,4,16950.332,9317.632,401,7231.7,1,1,0,4,0,201601.txt
2016,1,5,14952.768,5328.768,440,9184,2,1,0,4,0,201601.txt
2016,1,6,22152.636,12737.536,351,9064.1,3,1,0,4,0,201601.txt
2016,1,7,19641.464,10200.064,464,8977.4,4,1,0,4,0,201601.txt
2016,1,8,13205.4,5276.8,536,7392.6,5,1,0,4,0,201601.txt
2016,1,9,7757.6,201.6,494,7062,6,0,0,4,0,201601.txt
2016,1,10,5833.032,2082.432,385,3365.6,7,0,0,4,0,201601.txt
2016,1,11,25328.804,14607.104,103,10618.7,1,1,0,4,0,201601.txt
2016,1,12,20425.164,9454.464,543,10427.7,2,1,0,4,0,201601.txt
2016,1,13,11166.104,1138.304,325,9702.8,3,1,0,4,0,201601.txt
2016,1,14,11055.464,260.864,420,10374.6,4,1,0,4,0,201601.txt
2016,1,15,11086.1,0,442,10644.1,5,1,0,4,0,201601.txt
2016,1,16,7376.8,0,57,7319.8,6,0,0,4,0,201601.txt
2016,1,17,19456.868,9415.168,544,9497.7,7,0,0,4,0.2,201601.txt
2016,1,18,32535.164,17166.464,554,14814.7,1,1,0,4,0,201601.txt
2016,1,19,11830.5,214.4,518,11098.1,2,1,0,4,0,201601.txt
2016,1,20,12205.968,13.568,293,11899.4,3,1,0,4,0,201601.txt
2016,1,21,12722.1,172.8,307,12242.3,4,1,0,4,0,201601.txt
2016,1,22,48112.668,27239.168,462,20411.5,5,1,0,4,0,201601.txt
2016,1,23,46750.068,25261.568,541,20947.5,6,0,0,4,0,201601.txt
2016,1,24,36191.532,18997.632,523,16670.9,7,0,0,4,0,201601.txt
2016,1,25,12052.232,1762.432,494,9795.8,1,1,0,4,0,201601.txt
2016,1,26,25355.432,11932.032,523,12900.4,2,1,0,4,0,201601.txt
2016,1,27,12551.468,387.968,365,11798.5,3,1,0,4,0,201601.txt
2016,1,28,13101.968,2071.168,404,10626.8,4,1,0,4,0,201601.txt
2016,1,29,10809.096,1248.896,394,9166.2,5,1,0,4,0,201601.txt
2016,1,30,6512.468,93.568,398,6020.9,6,0,0,4,0,201601.txt
2016,1,31,8736.404,3147.904,562,5026.5,7,0,0,4,0,201601.txt
2016,2,1,11685.728,4009.728,559,7117,1,1,0,4,0,201602.txt
2016,2,2,8301.804,2661.504,541,5099.3,2,1,0,4,0,201602.txt
2016,2,3,4904.596,698.496,332,3874.1,3,1,0,4,0,201602.txt
2016,2,4,22021.572,11785.472,0,10236.1,4,1,0,4,0,201602.txt
2016,2,5,38905.128,20470.528,0,18434.6,5,1,0,4,0,201602.txt
2016,2,6,4930.168,2221.568,0,2708.6,6,0,0,4,0,201602.txt
2016,2,7,4523.468,2637.568,0,1885.9,7,0,1,4,0,201602.txt
2016,2,8,24232.668,12602.368,0,11630.3,1,1,1,4,0,201602.txt
2016,2,9,3614.732,1535.232,0,2079.5,2,1,1,4,0,201602.txt
2016,2,10,3756.4,1609.6,0,2146.8,3,1,1,4,0,201602.txt
2016,2,11,3264.368,842.368,0,2422,4,1,1,4,0,201602.txt
2016,2,12,4503.064,1329.664,0,3173.4,5,1,1,4,2,201602.txt
2016,2,13,67898.236,34823.936,0,33074.3,6,0,1,4,6.7,201602.txt
2016,2,14,37720.9,20134.4,779,16807.5,7,0,0,4,0,201602.txt
2016,2,15,24890.832,13138.432,1036,10716.4,1,1,0,4,0,201602.txt
2016,2,16,25101.236,12622.336,1036,11442.9,2,1,0,4,0,201602.txt
2016,2,17,8594.364,2606.464,982,5005.9,3,1,0,4,0,201602.txt
2016,2,18,17905.368,8103.168,1082,8720.2,4,1,0,4,0,201602.txt
2016,2,19,11144.4,780.8,943,9420.6,5,1,0,4,0,201602.txt
2016,2,20,5188.164,4.864,1111,4072.3,6,0,0,4,0,201602.txt
2016,2,21,6687.136,1303.936,809,4574.2,7,0,0,4,0,201602.txt
2016,2,22,23886.6,10460.8,869,12556.8,1,1,0,4,0,201602.txt
2016,2,23,21112.368,10679.168,1142,9291.2,2,1,0,4,0,201602.txt
2016,2,24,13229.232,4120.832,1032,8076.4,3,1,0,4,0,201602.txt
2016,2,25,15175.032,4498.432,1029,9647.6,4,1,0,4,0,201602.txt
2016,2,26,18845.436,8743.936,936,9165.5,5,1,0,4,0,201602.txt
2016,2,27,8602.696,3860.096,929,3813.6,6,0,0,4,0,201602.txt
2016,2,28,27403.604,13240.704,959,13203.9,7,0,0,4,0.2,201602.txt
2016,2,29,8352.564,2001.664,870,5480.9,1,1,0,4,0,201602.txt
2016,3,1,10640.364,2027.264,952,7661.1,2,1,0,1,0,201603.txt
2016,3,2,10565.804,1547.904,916,8101.9,3,1,0,1,0,201603.txt
2016,3,3,12523.796,2791.296,639,9093.5,4,1,0,1,0,201603.txt
2016,3,4,13673.904,3394.304,171,10108.6,5,1,0,1,0,201603.txt
2016,3,5,28938.232,14815.232,929,13194,6,0,0,1,0,201603.txt
2016,3,6,4274.032,1112.832,569,2592.2,7,0,0,1,0,201603.txt
2016,3,7,29399.936,15505.536,1074,12820.4,1,1,0,1,0,201603.txt
2016,3,8,20904.332,9464.832,1073,10366.5,2,1,0,1,0,201603.txt
2016,3,9,28208.032,15317.632,1066,11824.4,3,1,0,1,0,201603.txt
2016,3,10,13854.9,5392,1110,7352.9,4,1,0,1,0,201603.txt
2016,3,11,10304.036,3435.136,1099,5769.9,5,1,0,1,0,201603.txt
2016,3,12,7124.264,2398.464,768,3957.8,6,0,0,1,0,201603.txt
2016,3,13,28551.236,14779.136,1164,12608.1,7,0,0,1,0,201603.txt
2016,3,14,13300.732,4143.232,1059,8098.5,1,1,0,1,0,201603.txt
2016,3,15,11601.332,3688.832,561,7351.5,2,1,0,1,0,201603.txt
2016,3,16,9528.504,3042.304,775,5711.2,3,1,0,1,0,201603.txt
2016,3,17,8021.264,913.664,706,6401.6,4,1,0,1,0,201603.txt
2016,3,18,12607.232,4927.232,919,6761,5,1,0,1,0,201603.txt
2016,3,19,5765.4,2400,262,3103.4,6,0,0,1,0,201603.txt
2016,3,20,5327.036,1703.936,960,2663.1,7,0,0,1,0,201603.txt
2016,3,21,7737.864,3297.664,873,3567.2,1,1,0,1,0,201603.txt
2016,3,22,8231.336,2161.536,404,5665.8,2,1,0,1,0,201603.txt
2016,3,23,16423.096,7639.296,1098,7685.8,3,1,0,1,0,201603.txt
2016,3,24,11252.4,5152,1238,4862.4,4,1,0,1,0,201603.txt
2016,3,25,7817.704,3096.704,1226,3495,5,1,0,1,0,201603.txt
2016,3,26,20830.564,10446.464,1234,9150.1,6,0,0,1,0,201603.txt
2016,3,27,8931.336,4657.536,1237,3036.8,7,0,0,1,0,201603.txt
2016,3,28,20092.364,8081.664,985,11025.7,1,1,0,1,0,201603.txt
2016,3,29,19087.936,8996.736,1251,8840.2,2,1,0,1,0,201603.txt
2016,3,30,11308.264,4638.464,1230,5439.8,3,1,0,1,0,201603.txt
2016,3,31,16190.468,6512.768,875,8802.7,4,1,0,1,0,201603.txt
2016,4,1,29115.632,15288.832,1205,12621.8,5,1,0,1,0,201604.txt
2016,4,2,20941.036,10766.336,917,9257.7,6,0,1,1,0.4,201604.txt
2016,4,3,8263.032,4204.032,1108,2951,7,0,1,1,0,201604.txt
2016,4,4,10346.068,5277.568,967,4101.5,1,1,1,1,0,201604.txt
2016,4,5,14886.732,7196.032,867,6823.7,2,1,0,1,0,201604.txt
2016,4,6,8086.268,560.768,588,6937.5,3,1,0,1,0,201604.txt
2016,4,7,21284.068,10426.368,1051,9806.7,4,1,0,1,0,201604.txt
2016,4,8,24477.992,12731.392,1114,10632.6,5,1,0,1,0,201604.txt
2016,4,9,19367.272,9385.472,1033,8948.8,6,0,0,1,0,201604.txt
2016,4,10,9114.764,4030.464,971,4113.3,7,0,0,1,0,201604.txt
2016,4,11,9417.436,1876.736,912,6628.7,1,1,0,1,0,201604.txt
2016,4,12,7452.868,1005.568,790,5657.3,2,1,0,1,1.1,201604.txt
2016,4,13,16743.16,5295.36,826,10621.8,3,1,0,1,0,201604.txt
2016,4,14,20594.144,9926.144,1080,9588,4,1,0,1,0,201604.txt
2016,4,15,12786.532,2828.032,864,9094.5,5,1,0,1,0,201604.txt
2016,4,16,23343.3,12198.4,910,10234.9,6,0,0,1,4,201604.txt
2016,4,17,559.3,0,0,559.3,7,0,0,1,0,201604.txt
2016,4,18,9628.996,3127.296,1162,5339.7,1,1,0,1,0,201604.txt
2016,4,19,6779.636,1179.136,391,5209.5,2,1,0,1,0,201604.txt
2016,4,20,11496.996,4400.896,1268,5828.1,3,1,0,1,0,201604.txt
2016,4,21,19151.468,7207.168,1217,10727.3,4,1,0,1,0,201604.txt
2016,4,22,25189.232,14072.832,1390,9726.4,5,1,0,1,0,201604.txt
2016,4,23,7737.9,4006.4,1115,2616.5,6,0,0,1,0,201604.txt
2016,4,24,13312.632,6252.032,1188,5872.6,7,0,0,1,0,201604.txt
2016,4,25,20308.164,10833.664,1166,8308.5,1,1,0,1,0,201604.txt
2016,4,26,9810.168,2375.168,1041,6394,2,1,0,1,0,201604.txt
2016,4,27,7333.6,172.8,687,6473.8,3,1,0,1,0,201604.txt
2016,4,28,16030.104,6408.704,1154,8467.4,4,1,0,1,0,201604.txt
2016,4,29,9490.1,2892.8,987,5610.3,5,1,0,1,0,201604.txt
2016,4,30,8516.428,3868.928,1036,3611.5,6,0,1,1,0,201604.txt
2016,5,1,2042.404,226.304,842,974.1,7,0,1,1,0,201605.txt
2016,5,2,14503.364,7467.264,102,6934.1,1,1,1,1,8.2,201605.txt
2016,5,3,33488.636,18254.336,1482,13752.3,2,1,0,1,0,201605.txt
2016,5,4,9567.8,2617.6,1341,5609.2,3,1,0,1,0,201605.txt
2016,5,5,17054.304,5871.104,968,10215.2,4,1,0,1,0,201605.txt
2016,5,6,21718.528,10147.328,1437,10134.2,5,1,0,1,0,201605.txt
2016,5,7,8095.8,1708.8,1652,4735,6,0,0,1,0,201605.txt
2016,5,8,8145.54,3127.04,1437,3581.5,7,0,0,1,0,201605.txt
2016,5,9,12099.932,4818.432,743,6538.5,1,1,0,1,0,201605.txt
2016,5,10,10664.496,2141.696,1506,7016.8,2,1,0,1,0,201605.txt
2016,5,11,12912.668,5069.568,1009,6834.1,3,1,0,1,0,201605.txt
2016,5,12,28079.5,13164.8,190,14724.7,4,1,0,1,8,201605.txt
2016,5,13,12164.432,3237.632,1559,7367.8,5,1,0,1,0,201605.txt
2016,5,14,10818.572,2134.272,213,8471.3,6,0,0,1,8,201605.txt
2016,5,15,12428.028,4604.928,1532,6291.1,7,0,0,1,0,201605.txt
2016,5,16,20778.468,9863.168,1600,9315.3,1,1,0,1,0,201605.txt
2016,5,17,17372.396,6775.296,1498,9099.1,2,1,0,1,0,201605.txt
2016,5,18,13093.54,5168.64,1446,6478.9,3,1,0,1,0,201605.txt
2016,5,19,11416.06,3080.96,1392,6943.1,4,1,0,1,0,201605.txt
2016,5,20,10613.3,1593.6,1272,7747.7,5,1,0,1,0,201605.txt
2016,5,21,5774.6,1984,1450,2340.6,6,0,0,1,0,201605.txt
2016,5,22,4338.9,588.8,1315,2435.1,7,0,0,1,0,201605.txt
2016,5,23,9972.208,3371.008,574,6027.2,1,1,0,1,0.2,201605.txt
2016,5,24,17467.46,7996.16,1531,7940.3,2,1,0,1,0,201605.txt
2016,5,25,13507.068,5543.168,1071,6892.9,3,1,0,1,0.3,201605.txt
2016,5,26,20352.632,9477.632,1552,9323,4,1,0,1,0,201605.txt
2016,5,27,15519.9,7571.2,1072,6876.7,5,1,0,1,0,201605.txt
2016,5,28,9269.204,4123.904,1124,4021.3,6,0,0,1,0,201605.txt
2016,5,29,13421.096,6852.096,99,6470,7,0,0,1,0,201605.txt
2016,5,30,9636.532,1061.632,1209,7365.9,1,1,0,1,0,201605.txt
2016,5,31,19674.84,7287.04,633,11754.8,2,1,0,1,0,201605.txt
2016,6,1,9880.164,740.864,1033,8106.3,3,1,0,2,0,201606.txt
2016,6,2,12635.096,2724.096,1350,8561,4,1,0,2,0,201606.txt
2016,6,3,10251.576,1144.576,673,8434,5,1,0,2,0,201606.txt
2016,6,4,6221.628,2243.328,191,3787.3,6,0,0,2,0,201606.txt
2016,6,5,7204.572,2531.072,1129,3544.5,7,0,0,2,0,201606.txt
2016,6,6,12861.732,1080.832,1077,10703.9,1,1,0,2,0,201606.txt
2016,6,7,11470.228,1097.728,1058,9314.5,2,1,0,2,14,201606.txt
2016,6,8,10808.204,1083.904,1219,8505.3,3,1,0,2,0,201606.txt
2016,6,9,21102.428,10761.728,247,10093.7,4,1,1,2,0,201606.txt
2016,6,10,4288,0,0,4288,5,1,1,2,14,201606.txt
2016,6,11,5925.84,1744.64,0,4181.2,6,0,1,2,0,201606.txt
2016,6,12,10898.76,1666.56,0,9232.2,7,0,0,2,0,201606.txt
2016,6,13,10551.472,1980.672,0,8570.8,1,1,0,2,12.1,201606.txt
2016,6,14,9792.8,0,0,9792.8,2,1,0,2,6,201606.txt
2016,6,15,9922.3,0,194,9728.3,3,1,0,2,0.2,201606.txt
2016,6,16,11072.796,1482.496,1489,8101.3,4,1,0,2,0,201606.txt
2016,6,17,12217.836,2286.336,1485,8446.5,5,1,0,2,0,201606.txt
2016,6,18,5757.8,0,1432,4325.8,6,0,0,2,0,201606.txt
2016,6,19,5160.9,0,1727,3433.9,7,0,0,2,0,201606.txt
2016,6,20,8725,236.8,1400,7088.2,1,1,0,2,2.5,201606.txt
2016,6,21,10672.8,1408,1177,8087.8,2,1,0,2,0,201606.txt
2016,6,22,10127.632,1797.632,1300,7030,3,1,0,2,0,201606.txt
2016,6,23,9698.796,1085.696,870,7743.1,4,1,0,2,0,201606.txt
2016,6,24,16743.004,7682.304,1821,7239.7,5,1,0,2,0,201606.txt
2016,6,25,10776.468,5235.968,1351,4189.5,6,0,0,2,0,201606.txt
2016,6,26,16619.132,8088.832,1587,6943.3,7,0,0,2,0,201606.txt
2016,6,27,9260.8,1926.4,846,6488.4,1,1,0,2,1.3,201606.txt
2016,6,28,9847.304,226.304,368,9253,2,1,0,2,23.7,201606.txt
2016,6,29,11141.232,210.432,1270,9660.8,3,1,0,2,2,201606.txt
2016,6,30,10980.132,888.832,1546,8545.3,4,1,0,2,2,201606.txt
2016,7,1,12798.304,3394.304,1434,7970,5,1,0,2,0,201607.txt
2016,7,2,9258.532,3314.432,1229,4715.1,6,0,0,2,0,201607.txt
2016,7,3,5762.892,2056.192,788,2918.7,7,0,0,2,0.9,201607.txt
2016,7,4,11271.9,1638.4,866,8767.5,1,1,0,2,0,201607.txt
2016,7,5,11300.976,1042.176,948,9310.8,2,1,0,2,0,201607.txt
2016,7,6,10500.064,2315.264,990,7194.8,3,1,0,2,0,201607.txt
2016,7,7,12613.432,696.832,833,11083.6,4,1,0,2,0,201607.txt
2016,7,8,11215.132,652.032,663,9900.1,5,1,0,2,0,201607.txt
2016,7,9,7911.232,1842.432,941,5127.8,6,0,0,2,0,201607.txt
2016,7,10,7793.864,2910.464,1224,3659.4,7,0,0,2,0,201607.txt
2016,7,11,12475.74,5130.24,1058,6287.5,1,1,0,2,0,201607.txt
2016,7,12,11878.3,3097.6,392,8388.7,2,1,0,2,0.5,201607.txt
2016,7,13,10406.368,1101.568,1285,8019.8,3,1,0,2,0,201607.txt
2016,7,14,10991.936,1428.736,750,8813.2,4,1,0,2,0,201607.txt
2016,7,15,10193.632,549.632,273,9371,5,1,0,2,9,201607.txt
2016,7,16,6036.796,36.096,726,5274.7,6,0,0,2,0,201607.txt
2016,7,17,5325.764,376.064,802,4147.7,7,0,0,2,0,201607.txt
2016,7,18,9500.304,360.704,561,8578.6,1,1,0,2,2.1,201607.txt
2016,7,19,11101.496,3588.096,217,7296.4,2,1,0,2,13,201607.txt
2016,7,20,37512.04,22205.44,31,15275.6,3,1,0,2,254,201607.txt
2016,7,21,8911.092,1070.592,465,7375.5,4,1,0,2,43.8,201607.txt
2016,7,22,9567.076,190.976,842,8534.1,5,1,0,2,0,201607.txt
2016,7,23,7410.396,836.096,892,5682.3,6,0,0,2,0,201607.txt
2016,7,24,7367.832,914.432,908,5545.4,7,0,0,2,0,201607.txt
2016,7,25,10121.628,931.328,616,8574.3,1,1,0,2,12.9,201607.txt
2016,7,26,11964.568,1875.968,860,9228.6,2,1,0,2,0,201607.txt
2016,7,27,15845.872,3331.072,42,12472.8,3,1,0,2,0,201607.txt
2016,7,28,12185.096,260.096,1559,10366,4,1,0,2,14,201607.txt
2016,7,29,12414.24,611.84,1123,10679.4,5,1,0,2,0,201607.txt
2016,7,30,9036.596,1725.696,590,6720.9,6,0,0,2,0.1,201607.txt
2016,7,31,7290.3,665.6,890,5734.7,7,0,0,2,0,201607.txt
2016,8,1,10889.904,47.104,925,9917.8,1,1,0,2,0.1,201608.txt
2016,8,2,10940.096,791.296,1535,8613.8,2,1,0,2,0,201608.txt
2016,8,3,10848.532,287.232,1409,9152.3,3,1,0,2,0,201608.txt
2016,8,4,12369.164,734.464,1200,10434.7,4,1,0,2,0,201608.txt
2016,8,5,11760.1,179.2,1315,10265.9,5,1,0,2,0,201608.txt
2016,8,6,8905.208,1124.608,729,7051.6,6,0,0,2,0,201608.txt
2016,8,7,8267.3,1964.8,1032,5270.5,7,0,0,2,3,201608.txt
2016,8,8,11126.392,673.792,1733,8719.6,1,1,0,2,0,201608.txt
2016,8,9,12632.44,221.44,1554,10857,2,1,0,2,0,201608.txt
2016,8,10,13795.328,3036.928,1332,9426.4,3,1,0,2,0,201608.txt
2016,8,11,12452.768,1639.168,1279,9534.6,4,1,0,2,0,201608.txt
2016,8,12,11003.196,708.096,579,9716.1,5,1,0,2,50,201608.txt
2016,8,13,8158.3,0,639,7519.3,6,0,0,2,0,201608.txt
2016,8,14,6725.5,0,1231,5494.5,7,0,0,2,0.1,201608.txt
2016,8,15,12184.9,268.8,747,11169.1,1,1,0,2,5,201608.txt
2016,8,16,12909.268,794.368,1615,10499.9,2,1,0,2,0,201608.txt
2016,8,17,13781.508,94.208,374,13313.3,3,1,0,2,0,201608.txt
2016,8,18,12096.596,1629.696,49,10417.9,4,1,0,2,18,201608.txt
2016,8,19,14029.936,5851.136,1471,6707.8,5,1,0,2,0.2,201608.txt
2016,8,20,6920.4,12.8,244,6663.6,6,0,0,2,0,201608.txt
2016,8,21,5639.4,0,0,5639.4,7,0,0,2,0,201608.txt
2016,8,22,10407.4,0,0,10407.4,1,1,0,2,0,201608.txt
2016,8,23,10654.968,0.768,0,10654.2,2,1,0,2,0.3,201608.txt
2016,8,24,11377.1,0,0,11377.1,3,1,0,2,0,201608.txt
2016,8,25,10516.224,1.024,0,10515.2,4,1,0,2,0,201608.txt
2016,8,26,11348.368,0.768,0,11347.6,5,1,0,2,0,201608.txt
2016,8,27,5295.8,0,0,5295.8,6,0,0,2,0,201608.txt
2016,8,28,4789.408,43.008,188,4558.4,7,0,0,2,0,201608.txt
2016,8,29,11436.6,1369.6,1412,8655,1,1,0,2,0,201608.txt
2016,8,30,10929.928,1481.728,1416,8032.2,2,1,0,2,0,201608.txt
