,true,pre_lin,pre_ave
0,6080.036,4570.11683096625,7861.896497560895
1,15301.312,15629.941674586791,20432.977457009267
2,25438.624,18089.02750983854,20326.867661147375
3,14843.723999999998,17692.501045072902,20424.924637986554
4,12586.444,14396.981867171009,19035.082929467415
5,13175.06,18382.02392329942,21077.34340254868
6,15137.056,17023.256734527662,20341.127347426915
7,46180.38,49635.04197116741,44770.32743631938
8,53122.508,51241.61996339633,43448.97935258542
9,47807.172,50072.74255552097,43413.83800636067
10,25215.176,19668.138962416786,18786.453061952918
11,14277.812,17321.88378637378,19829.438188969583
12,6197.556,6315.114473025754,9174.003741056405
13,7223.76,6129.31596246602,6861.218610688604
14,12937.768,13781.470989845297,13970.251133544318
15,19200.58,16391.1095969386,16366.783592825386
16,21064.076,15564.341540756865,15729.790101897472
17,12214.052,17994.198404793548,19531.449103587616
18,11755.336,16127.751628542903,16037.793436499409
19,8964.931999999999,14257.703097288137,14074.738065648455
20,7109.828,6673.1804308455385,8320.22289913738
21,26921.08,12271.664882483452,12842.198963500885
22,23480.82,22054.03121297137,22056.576734078888
23,12907.568,19764.097747540967,19940.82990026493
24,12920.32,16724.975096748392,17322.79767906142
25,12653.208,16965.975632946866,17960.911694774975
26,7238.291999999998,7821.3821386029795,9592.108253070417
27,40815.684,49776.807269769895,44781.694710964715
28,16196.74,17761.58963265983,18837.53254682226
29,26066.024,22709.561842654213,19418.43280378846
30,12482.408,18877.566233454716,20131.8537955691
31,20768.956,17902.77044775283,20169.351452775834
32,47939.684,51396.23595616935,45683.74516790543
33,18632.56,20361.6314457161,21641.960570165444
34,10736.268,19280.199515939494,20929.26700018681
35,23124.872000000007,15992.195495576978,19342.365415654083
36,13756.216,18250.59444427371,20353.544752356585
37,32204.808,20815.420323063838,21651.59067705684
38,15256.964,18287.586475634424,20206.39284302325
39,49450.824,56651.07469498517,45312.47951023133
40,34707.836,22818.77257246043,20459.168132315102
41,58889.4,50797.90479277427,43329.59685450429
42,23362.636,19121.969220162275,17746.607319459825
43,5865.504,9232.106166445137,10079.336082502325
44,25244.344,16423.389770308248,16831.70831718902
45,6899.312,8518.136734423497,9296.453089393008
46,17131.832,17196.904882517316,17686.437555088512
47,3593.168,8466.9493723443,8326.168839556298
48,4407.036,4983.501855078045,5870.838654871662
49,3492.192,4801.47606277078,5710.925672673522
50,3474.7,7639.31448118831,8103.140250306256
51,3610.7,6931.286367374573,7702.3241008115265
52,7895.092,7990.50790342355,9112.536350238754
53,17051.944,16862.176814855047,17862.91536884078
54,12506.896,15674.682054157774,17468.719959397164
55,5412.232,7024.318653322504,7090.792106513779
56,4202.304,5845.279171538783,7020.456394453681
57,8420.416,6945.718749099131,7197.6140475548855
58,15958.788,15520.738761039536,16182.421919332242
59,13153.504,17527.707021912705,20666.020377755656
60,9613.056,14300.013387370213,13791.051883934733
61,5465.052,6148.5521607934415,6490.023880408692
62,6552.64,5832.11275056007,6797.129315692545
63,14882.136,16985.574220757888,20908.747199526177
64,12408.392,13836.9405553148,14063.407096414261
65,10543.756,11705.078049230488,11838.35987780454
66,11654.332,16476.845432118622,16676.91482660523
67,8204.224,8146.610877171659,8655.947455204829
68,10605.948,12928.918132310208,13656.921474951121
69,4627.335999999998,6655.048938922484,6658.253777128711
70,8677.164,6830.627937420909,7801.119068272081
71,6588.991999999998,7122.297589555748,8125.243586338151
72,8518.496,7075.166099454752,7861.519818696671
73,47109.28400000001,44759.35515025214,40907.986220711005
74,9675.856,17020.491238431125,17257.276629803742
75,5757.804,5740.39855343367,7238.308382131764
76,4265.804,5848.250137544803,6386.047501424265
77,7344.88,7434.524630080661,7737.848020855957
78,8618.64,8154.997876489497,9232.959399404352
79,9189.868,15952.182297724246,17515.019551386653
80,9645.336,12165.798222363283,12684.261084436968
81,6217.0,7614.036568153233,8105.82295450307
82,10003.24,13423.664350262832,13562.747528454936
83,14433.596,14118.32622679343,14402.095513453927
84,7683.308000000001,7157.733583578402,8294.612701022163
85,7446.884,7434.56865266766,8128.509130916791
86,14738.488,13813.096373228722,14937.643181167172
87,8681.572,7367.233173736568,8420.604498066647
88,6811.7840000000015,8430.633548312755,9031.497393077429
89,3906.784,7201.043017915193,6794.005541767645
90,7655.2040000000015,5105.135455567946,5582.026364535511
91,9773.908,13800.783861072741,13923.701077140708
92,25863.212000000003,13372.072176934887,15202.352356569849
93,8445.996,8125.353961174609,9738.91581507997
94,4492.12,6938.465339551421,7225.59318561494
95,37946.18,16980.484745342786,18745.98944966063
96,21909.972,15079.82484951644,18277.406759964397
97,10866.452,14358.870601623446,15220.274390351004
98,7748.208,8415.791175805027,8772.07937025994
99,35460.824,13232.63331654857,13401.686525164563
100,12937.368,15175.531753904985,15661.852314979553
101,16160.143999999998,14899.934011733836,14096.733939487705
102,10726.303999999998,15410.444942407375,15497.040061061229
103,56661.18,47345.40208053329,40857.543073113884
104,12395.7,16262.63300541325,18315.0834926616
105,18232.908,14708.726064897457,14696.703897647256
106,10646.563999999997,12677.491191872505,13534.839128136175
107,6860.752,7393.356289739881,7938.498550941385
108,17044.872,11376.911239059069,12171.953689174165
109,7847.94,7207.740806802343,7758.226283431662
110,12978.1,11219.042737105276,11601.226967116789
111,26118.712000000003,10993.275215064197,11502.81960707718
112,7346.6680000000015,6776.400725893207,7688.505490125032
113,7592.964,7137.502627135484,7961.522624397291
114,7053.64,7091.985097445954,7954.9582082704865
115,6597.6280000000015,6742.904970214889,7678.400225333338
116,12384.548,13645.940038015764,13949.70720701736
117,5859.676,5805.444374265144,6192.663639875875
118,4715.484,6643.68628884103,7206.383046143425
119,8955.431999999999,10865.53795843789,12753.152331141528
120,16162.223999999998,13487.122149711018,12452.268441157576
121,16676.696,14589.674064027111,15731.157725631207
122,12746.824,13395.060892053158,17364.128823428233
123,7652.54,7702.01097511986,8544.90200887001
124,15268.372,13788.233096716387,13175.897614876652
125,4956.464,6741.439153715538,6457.053693976807
126,10119.148,13013.504444754095,13277.976882654706
127,13010.716,14279.777965945454,15157.385320533054
128,9543.732,14115.750103259492,13912.756551783983
129,10549.34,12439.28870449543,13660.72005152672
130,2304.448,7444.8459419417895,7959.062946254468
131,5689.7,5821.996240412466,6484.318634538392
132,1713.628,5784.501306821555,6216.33498767588
133,10839.768,12786.514199344529,13174.367736997592
134,15322.076,12561.496736847846,13074.916618076066
135,12622.832,13001.67299996868,13257.192946509429
136,13270.184,12201.845513936658,12909.306218502577
137,10522.188,12173.377337220882,13092.723206317618
138,6912.684,6964.304762457581,6666.545939169263
139,5443.852,5322.029533387632,5848.462806220032
140,13893.968,10858.53286755071,11029.331423214855
141,19823.22,13087.829343039826,14534.56125906347
142,5549.1,9081.81359989987,8890.254775812766
143,6685.2,7017.176431265261,7512.945706195224
144,8136.6,7077.824768443564,7503.153341118635
145,4856.9,5398.196583885985,6027.789758359468
146,2992.3,3962.6714425287555,5750.826209106058
147,21914.136,12609.519324118477,14280.468086607967
148,11032.192,14581.832646514556,14758.51507245683
149,10642.196000000002,12820.46366785267,13235.57518516895
150,12220.572,15365.037723912297,14871.43074362277
